,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'LUNCH BAG'}),frozenset({'ALPHABET LUNCH'}),0.0558,0.0546,0.046,0.8243727598566307,15.098402195176385,1.0,0.042953319999999996,5.382991836734691,0.9889513091367893,0.7142857142857143,0.8142297015619111,0.8334318011737365
1,frozenset({'ALPHABET LUNCH'}),frozenset({'LUNCH BAG'}),0.0546,0.0558,0.046,0.8424908424908424,15.098402195176385,1.0,0.042953319999999996,5.994572093023252,0.9876960292859703,0.7142857142857143,0.8331824216170752,0.8334318011737365
2,frozenset({'LUNCH BOX WRAP'}),frozenset({'ALPHABET LUNCH'}),0.0578,0.0546,0.0462,0.7993079584775087,14.63933989885547,1.0,0.04304412,4.710700000000001,0.9888462206441403,0.6978851963746222,0.7877173243891566,0.8227309023156774
3,frozenset({'ALPHABET LUNCH'}),frozenset({'LUNCH BOX WRAP'}),0.0546,0.0578,0.0462,0.846153846153846,14.639339898855468,1.0,0.04304412,6.124299999999995,0.9854991634132738,0.6978851963746222,0.8367160328527341,0.8227309023156774
4,frozenset({'WATER BOTTLE'}),frozenset({'ALPHABET LUNCH'}),0.0554,0.0546,0.046,0.8303249097472925,15.20741592943759,1.0,0.04297516,5.571825531914895,0.9890351563578786,0.71875,0.8205256079408636,0.8364078761190674
5,frozenset({'ALPHABET LUNCH'}),frozenset({'WATER BOTTLE'}),0.0546,0.0554,0.046,0.8424908424908424,15.20741592943759,1.0,0.04297516,5.997111627906973,0.9881982321722573,0.71875,0.8332530621330112,0.8364078761190674
6,frozenset({'CALM HOT WATER'}),frozenset({'GREY HEART HOT'}),0.0566,0.0556,0.0476,0.8409893992932863,15.125708620382849,1.0,0.044453040000000006,5.93922666666667,0.9899166789887464,0.7368421052631581,0.8316279111534163,0.8485522536034777
7,frozenset({'GREY HEART HOT'}),frozenset({'CALM HOT WATER'}),0.0556,0.0566,0.0476,0.8561151079136692,15.125708620382849,1.0,0.044453040000000006,6.5566300000000055,0.9888684825899865,0.7368421052631581,0.8474826244579915,0.8485522536034777
8,frozenset({'HEART HOT WATER'}),frozenset({'CALM HOT WATER'}),0.0524,0.0566,0.0446,0.851145038167939,15.037898200846978,1.0,0.04163416,6.337712820512822,0.9851217236085689,0.6925465838509317,0.8422143716005289,0.8195654519461604
9,frozenset({'CALM HOT WATER'}),frozenset({'HEART HOT WATER'}),0.0566,0.0524,0.0446,0.7879858657243817,15.037898200846978,1.0,0.04163416,4.469513333333334,0.9895074679790967,0.6925465838509317,0.7762619942215931,0.8195654519461604
10,frozenset({'HOT WATER BOTTLE'}),frozenset({'CALM HOT WATER'}),0.0546,0.0566,0.047,0.8608058608058607,15.208584113177752,1.0,0.04390964,6.777584210526313,0.9882035747561541,0.7320872274143303,0.8524548026350018,0.845597276692683
11,frozenset({'CALM HOT WATER'}),frozenset({'HOT WATER BOTTLE'}),0.0566,0.0546,0.047,0.8303886925795053,15.208584113177752,1.0,0.04390964,5.573920833333334,0.9902985579547043,0.7320872274143303,0.8205930744441563,0.845597276692683
12,frozenset({'COFFEE MUG'}),frozenset({'MUG WARMER PINK'}),0.0554,0.0556,0.0474,0.855595667870036,15.388411292626548,1.0,0.04431976,6.539969999999998,0.9898539421504068,0.7452830188679246,0.8470940998200297,0.8540568267407734
13,frozenset({'MUG WARMER PINK'}),frozenset({'COFFEE MUG'}),0.0556,0.0554,0.0474,0.8525179856115108,15.38841129262655,1.0,0.04431976,6.404848780487806,0.9900635681440854,0.7452830188679246,0.8438682888116777,0.8540568267407734
14,frozenset({'COFFEE MUG'}),frozenset({'MUG WARMER POLKADOT'}),0.0554,0.0522,0.0444,0.8014440433212997,15.353334163243288,1.0,0.04150812,4.773465454545456,0.9896967685449582,0.7025316455696202,0.79050859181399,0.8260093779824889
15,frozenset({'MUG WARMER POLKADOT'}),frozenset({'COFFEE MUG'}),0.0522,0.0554,0.0444,0.8505747126436781,15.353334163243288,1.0,0.04150812,6.3215538461538445,0.9863553150111497,0.7025316455696202,0.8418110445095047,0.8260093779824889
16,frozenset({'COFFEE MUG'}),frozenset({'OFFICE MUG'}),0.0554,0.0548,0.047,0.848375451263538,15.48130385517405,1.0,0.04396408,6.2338190476190505,0.9902667345403436,0.7436708860759494,0.8395846924074671,0.8530198424200901
17,frozenset({'OFFICE MUG'}),frozenset({'COFFEE MUG'}),0.0548,0.0554,0.047,0.8576642335766423,15.48130385517405,1.0,0.04396408,6.636420512820513,0.9896381267951846,0.7436708860759494,0.8493163599159881,0.8530198424200901
18,frozenset({'DRAWING SLATE BUNNIES'}),frozenset({'DRAWING SLATE'}),0.0528,0.0544,0.0456,0.8636363636363636,15.875668449197862,1.0,0.042727680000000004,6.9344,0.9892425320056899,0.7402597402597404,0.8557914167051223,0.8509358288770055
19,frozenset({'DRAWING SLATE'}),frozenset({'DRAWING SLATE BUNNIES'}),0.0544,0.0528,0.0456,0.8382352941176472,15.875668449197864,1.0,0.042727680000000004,5.8554181818181865,0.99091637723751,0.7402597402597404,0.8292180047694755,0.8509358288770055
20,frozenset({'DRAWING SLATE'}),frozenset({'DRAWING SLATE DINOSAUR'}),0.0544,0.0544,0.0462,0.8492647058823529,15.611483564013842,1.0,0.04324064,6.273248780487804,0.98978911669267,0.7380191693290736,0.8405929630735542,0.8492647058823529
21,frozenset({'DRAWING SLATE DINOSAUR'}),frozenset({'DRAWING SLATE'}),0.0544,0.0544,0.0462,0.8492647058823529,15.611483564013842,1.0,0.04324064,6.273248780487804,0.98978911669267,0.7380191693290736,0.8405929630735542,0.8492647058823529
22,frozenset({'DRAWING SLATE'}),frozenset({'MAGIC DRAWING SLATE'}),0.0544,0.0532,0.0456,0.8382352941176472,15.756302521008406,1.0,0.04270592,5.852945454545459,0.9904117315284827,0.7354838709677419,0.8291458535251871,0.8476890756302522
