,Business ID,Business State,Total Long-term Debt,Total Equity,Debt to Equity,Total Liabilities,Total Revenue,Profit Margin,Debt to Income Ratio
0,726076597,Alabama,445061.52,2893026.13,0.15,3753563.68,6054735.02,0.93,0.07350635800408653
1,165365337,Montana,5592213.55,9933652.59,0.56,9530630.35,714833.95,0.48,7.823094510270533
2,618011676,Delaware,1932069.13,4808866.44,0.4,9462325.86,438539.82,0.53,4.405686876963647
3,425000967,Minnesota,3557010.1,1642178.45,2.17,9623278.75,8732140.37,0.14,0.4073468759412534
4,289433882,Indiana,9477883.81,6942758.12,1.37,9878493.86,8903770.44,0.78,1.0644798036819108
5,113248531,California,6507490.57,2695290.24,2.41,5819738.35,6232710.61,0.13,1.0440867508847809
6,278979212,Mississippi,3401002.37,5523359.54,0.62,8179210.42,9579174.02,0.89,0.3550412971827398
7,723214056,Montana,1260866.9,9415272.93,0.13,3740496.03,514508.47,0.51,2.4506241850595774
8,844434343,Michigan,2955963.5,2577739.8,1.15,9331360.04,1523781.56,0.97,1.9398866462198163
9,240952777,Idaho,349543.15,7346822.52,0.05,1778834.62,489630.39,0.87,0.7138918603479658
10,905635555,Utah,5532830.81,6340159.3,0.87,329120.56,3369123.94,0.8,1.6422164659219987
11,704547939,Pennsylvania,6106813.18,4523919.75,1.35,4144759.21,1418954.08,0.32,4.303742641199495
12,667405963,Missouri,1200317.33,4902936.54,0.24,3139174.54,650555.93,0.7,1.845064005488352
13,669009665,Kansas,4378900.46,6078854.34,0.72,3333188.05,7350391.31,0.64,0.5957370533515175
14,406263273,Alabama,8075235.91,8296102.37,0.97,1433061.29,4909966.14,0.88,1.6446622399721886
15,300810688,Montana,545037.34,6447982.91,0.08,7196078.71,5401241.97,0.62,0.10090963208597004
16,547086365,Colorado,9578935.03,91234.64,104.99,5808968.53,8272042.39,0.38,1.1579891130127538
17,911651142,Illinois,238671.48,612453.42,0.39,6040728.23,3501939.58,0.98,0.06815408277261026
18,759779156,Delaware,2361233.81,5065521.08,0.47,627474.68,1125162.18,0.39,2.0985719676429224
19,22173604,Pennsylvania,2820564.37,4130784.11,0.68,9532797.77,9445397.76,0.85,0.29861784984267303
20,303801984,Florida,613361.26,9000118.63,0.07,5942102.76,8301961.54,0.63,0.07388148656732997
21,904876974,Ohio,9576433.6,8782016.62,1.09,8501501.92,2427252.04,0.64,3.945380801904692
22,461110965,Montana,9189586.83,4297725.16,2.14,991660.84,6987565.33,0.89,1.3151342987157446
23,96024950,Florida,9479561.61,1016710.41,9.32,2876956.27,3753431.18,0.48,2.5255722445402604
24,937395558,Colorado,7315989.09,3287958.03,2.23,2979858.0,9717775.49,0.81,0.7528460703304435
25,400917020,Wisconsin,5017414.92,5904833.99,0.85,4017649.67,8317139.86,0.06,0.6032620593685676
26,377397939,Florida,8536590.56,5226912.93,1.63,9927767.29,731019.28,0.41,11.677654466240616
27,293856678,Wisconsin,7350062.67,3593661.73,2.05,421444.69,9752015.8,0.23,0.7536967557004983
28,217669769,Massachusetts,6186356.73,987841.29,6.26,7014798.77,3932820.83,0.87,1.573007517354916
29,157742927,Maine,6699022.86,8980237.29,0.75,1229369.68,9754024.88,0.9,0.6867957527703169
30,170851742,Pennsylvania,5102039.81,8602454.13,0.59,2169675.69,3849339.84,0.8,1.3254324175233123
31,211048042,Missouri,8822638.97,1503297.74,5.87,1221950.28,3586484.49,0.54,2.4599685275649974
32,432550007,Alabama,5094147.43,3319659.81,1.53,9669535.38,6359007.48,0.88,0.8010915926772898
33,968656907,Massachusetts,7333521.5,8539389.0,0.86,3201002.39,2434658.02,0.46,3.0121361767267834
34,83195775,Arkansas,1272231.19,3017082.34,0.42,3815817.93,4937111.76,0.65,0.25768733863946397
35,98991693,Minnesota,8865463.36,3463965.76,2.56,4411506.86,8179068.95,0.46,1.0839208489616656
36,419850683,Louisiana,8693164.6,8320833.87,1.04,714985.91,6338029.29,0.41,1.3715879498562555
37,986868575,Arkansas,5479653.37,5209986.32,1.05,3174495.93,1815627.95,0.29,3.018048587542398
38,406344461,Oklahoma,1787667.2,6884595.6,0.26,4709337.09,4823085.34,0.19,0.3706480549232828
39,316795707,Illinois,3501820.49,31593.05,110.84,2347208.22,667851.75,0.38,5.243409918443727
40,247843697,Wisconsin,9015978.03,2589958.45,3.48,6293241.55,7097388.61,0.37,1.2703232872576211
41,314658798,Arizona,896096.52,6833061.12,0.13,7857678.4,2718406.06,0.48,0.32964042171094926
